variable_name,description,datatype,Digest (variable_name|source_file|source_directory),survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,Concept,Comment,section_header,ui,field_note,pattern,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories
32985-consent_applies_cohort4,(Cohort 4 only) Demographics eligibility,categorical,557b2b1cb40e92cda744f3c509a31d51e328112cc04feb7ab919ca214bfedfba074b0077f0f52940a06da9d6fd00fc3e1c2daf47682aa38364cb48d1291ee7bb,,,What is your race?,true,"1, White; 2, Black or African American; 3, Asian; 4, American Indian or Alaska Native; 5, Other; 6, None of the Above; 7, Prefer not to answer",,,,,,,Consent,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"cohort,race,demographic"
33469-_height_success,"System generated variable, not required",text,628df6cdf9486f72ccb1e0558cb92bb53ac7b77bc73cf0341f8961bec2b18ff815539512e41e73b680a83de5e5ae041a462354632e7edb819f7ea0c206d88f39,,,,false,,,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,system
33470-_dob_validation,"System generated variable, not required",text,5b4cf69ecb3968ae7a833668c36fcb5a2fa21f4f482c7a5a9582d2aaf980b6b3fd5f1db89b423c3a34caff3516b5a729e1c4eaafc2bfe1e6a138fdf1e1b0dc9a,,,,false,,,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,system
33473-_symptom_success,"System generated variable, not required",text,2632bc8a9c93c88125f5a4537ea1a0df388ac6108d48294d2758d6cb9d5516140f95b4848033564dad48b5aac0bde191c32172fe3139c8d6ab6b5df6c7a3bc5e,,,,false,,,,,,,,Symptom Screening,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,system
33480-_weight_success,"System generated variable, not required",text,be01fe52dcd519e4cbe53cbfc284ff342be4857e233fb8729ad9d986b72c63d8610b73a33791ca7816fc26e1008b4c34bc4638fc1c3ee47365c757873baa18ca,,,,false,,,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,system
34683-consent_invited,Invited by Research Staff member,categorical,b3c5df77a6b85ad9cd414be1ded058d7fce5aa944e68b2ae9f0c3d21a0bf4898510a2e055f0656d1cd5e39ff91e5c3981808f6bc7ec59ce16d68036c3d2dfc97,,,Have you been invited by study staff to participate in an in-person observation appointment?,true,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"study staff,person observation appointment,research staff member"
34684-consent_travel,Willingness to travel for observation,categorical,a8aa919c231b90380ac3ece29aa91a28ea935cf1d4047d080957df67b4eb33d38c2da59e564559c7ab08e093272a49e81a34d1e6fbf42df97a6469baf7260447,,,Are you willing to travel to VCU to complete an in-person observation appointment (about 2 hours long)?,true,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"observation,hour,vcu,person observation appointment,willingness"
36096-post_covidvaccine,Vaccination status (COVID),categorical,cfb5551cb31133ace10d5189e367a4f6e0d78fc6d9e8870733c2ead1320d1eece68fc09e20ec24fb280cce1fa739469c006eeccc2ec91329e1e40c4be8ef2a90,,,Did you receive the COVID-19 vaccine?,true,"1, Yes; 2, No; 4, Not sure, I participated in a COVID-19 vaccination trial; 3, Prefer not to answer",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"covid,vaccination status"
36097-post_vaccinelikely,Vaccination Likeliness to Receive (COVID),categorical,75445e76d71c601d9ed3185fe1be335b4ff496903b8452217fc83078fe22e3955a9217fc92443cce1f946dadcb82730dc14837deb94ef42a4ec895be9c88f43f,,,"When a COVID-19 vaccine is available to you, how likely are you to get vaccinated?",true,"14, Very likely; 15, Likely ; 16,  I do not know yet; 17, Unlikely ; 18, Very unlikely",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"vaccination likeliness,covid"
36104-post_vaccinefactors-1,Factors that might make participant less likely to get the vaccine selected; I will not get/am never sick,categorical,b32780e9959785724029b11a4dc37f41c2567ff7deadff0d211e36ee99f9e99178589a8b3560329ffe1368e61df6e9bf0b6890e9ed468bda31b7eb658c9d85ff,,,What factors might make you less likely to get the vaccine? I will not get/am never sick,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,vaccine"
36104-post_vaccinefactors-10,Factors that might make participant less likely to get the vaccine selected; I am not in the risk group with underlying conditions,categorical,ccc7f1cbfa193e9ef06d02058f20a569e677653f39b1723ab7c07a0eec4970e91f5dff5641d636239cc475c7e4f7621d9974967e628d6894aed58db5e4c6bd5f,,,What factors might make you less likely to get the vaccine? I am not in the risk group with underlying conditions,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"risk group,factor,vaccine,condition"
36104-post_vaccinefactors-11,Factors that might make participant less likely to get the vaccine selected; I need more information first,categorical,e30b95a55a8065b09dfad4ae3e23e5216fbce065e2abe4aaeec9ee0436f14307e7dfbf1127f7d7a1a18a590af91dddcfac10380af5f9781fcab65e0c51b054ed,,,What factors might make you less likely to get the vaccine? I need more information first,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,vaccine,information"
36104-post_vaccinefactors-12,Factors that might make participant less likely to get the vaccine selected; I have already had COVID-19,categorical,b7f3540545f34337334ae6721d34458d06b4df36c14aa4c71d6b34626ba04274b5d92b14279bce3fc8ee65db1977c459786b9b4c831e5db3a14a594b54d72084,,,What factors might make you less likely to get the vaccine? I have already had COVID-19,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,vaccine"
36104-post_vaccinefactors-13,Factors that might make participant less likely to get the vaccine selected; I am going to let others get it first (herd immunity),categorical,3f0b7a65125f9406828e2f8dd501ec2957a882a83b2b5db93f55dc8228951f428e9cb29cb488daa96b00f8684735d9fc4dc6d4b4a42301a61837cb9d99f528b7,,,What factors might make you less likely to get the vaccine? I am going to let others get it first (herd immunity),true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,herd immunity,vaccine"
36104-post_vaccinefactors-14,Factors that might make participant less likely to get the vaccine selected; I have had severe allergic reactions to vaccines in the past,categorical,d81c77f1ea410a199401cc4e8a91fab68b806a373ea554a5c1d6a694499d660df95415b82d86764387dd8b1fa12ad7b58646587c90d6fa0e30568e5f7f60c752,,,What factors might make you less likely to get the vaccine? I have had severe allergic reactions to vaccines in the past,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,past,vaccine,severe allergic reaction"
36104-post_vaccinefactors-15,Factors that might make participant less likely to get the vaccine selected; I am concerned that it will not interact with other medications/treatments that I am currently taking,categorical,e8e1ceb4c9cbbb363caf5f84de28eb3d6c3fe626314c51ad047f431ab46d305d9abdd1f2d922774b9c96723f3975b5db06d4a3072933c4ea059020b244330b93,,,What factors might make you less likely to get the vaccine? I am concerned that it will not interact with other medications/treatments that I am currently taking,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"treatment,factor,medication,vaccine"
36104-post_vaccinefactors-16,"Factors that might make participant less likely to get the vaccine selected; I am currently pregnant, planning a pregnancy, or breastfeeding",categorical,3464b54166b85d58b586130c5e18f0c7900c6cec6de4d0654a375e6d4dc52023a61e021520ded72db11f0965e44af468abaa6351e586839551a95a650aa49478,,,"What factors might make you less likely to get the vaccine? I am currently pregnant, planning a pregnancy, or breastfeeding",true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"pregnancy,factor,vaccine"
36104-post_vaccinefactors-17,Factors that might make participant less likely to get the vaccine selected; Do not know yet,categorical,d6c81338aa61a5ef2f4a581941d5c8d8d767baccad451a105043bcf29ec60dc7e63a992dc8a0a41da9d31c999783e4bde5b33ba7fc2052fc6a66f95fa5389672,,,What factors might make you less likely to get the vaccine? Do not know yet,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,vaccine"
36104-post_vaccinefactors-18,Factors that might make participant less likely to get the vaccine selected; Other,categorical,528ac3273c4113e68075ab0f0ea74bc2e667aa9f97770fe4c2805a5d223860665bd50f853aab76303dda8f2825e1668b84862c559f13ba2257955000a40afab7,,,What factors might make you less likely to get the vaccine? Other,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,vaccine"
36104-post_vaccinefactors-19,Factors that might make participant less likely to get the vaccine selected; Prefer not to answer,categorical,914d7890a65d4ef34dabdc64a9e7aba82e5e8c618ab4e7c45777da95f8602328122965a11df92b35b1aa8aacc9c607b75bdb698425deb37713036a779b95b497,,,What factors might make you less likely to get the vaccine? Prefer not to answer,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,vaccine"
36104-post_vaccinefactors-2,Factors that might make participant less likely to get the vaccine selected; It's just a virus/not fatal/not necessary,categorical,8d9922d7871bec95f81516e2183a2517438d05d68cbee61afa451aacf75c8eef90a1e50abbdb74a04f91fc1f512f97f5dff3bd1b312049a30215621fc53149d3,,,What factors might make you less likely to get the vaccine? It's just a virus/not fatal/not necessary,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,vaccine,virus"
36104-post_vaccinefactors-3,Factors that might make participant less likely to get the vaccine selected; I never get vaccinated ,categorical,e398f4ad198cd4382994a13f9ba9b7afa13018857defd98740566b9e5f369a3aa0438b286da3e777712c113672977a5326c4f83623f86eeaa6adaa41a3064cc3,,,What factors might make you less likely to get the vaccine? I never get vaccinated ,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,vaccine"
36104-post_vaccinefactors-4,Factors that might make participant less likely to get the vaccine selected; I do not trust the vaccine,categorical,127fdb9d09a9405a4fd7683a832e9c467b72af39ac14f17f72b4edcc061cb60c0844f1a64b0746b1a00adca0c75d5d35effcecc7b247447354d489f8712fa97a,,,What factors might make you less likely to get the vaccine? I do not trust the vaccine,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,vaccine"
36104-post_vaccinefactors-5,Factors that might make participant less likely to get the vaccine selected; I do not want to pay for it,categorical,491d16d5306697f223a722014a7f98d0eafd1a341b82db6ac11635cd5e4b934c019b8d550cb58245cd5aff2a337177b04c07fa85290abbe60c68a38e785551b8,,,What factors might make you less likely to get the vaccine? I do not want to pay for it,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,vaccine"
36104-post_vaccinefactors-6,Factors that might make participant less likely to get the vaccine selected; Vaccination location is not convenient,categorical,b217403419bce67460d09feb4ae54775b86eb83cdaeb5b94b1f569d3486216723d9a6b68c56b2dbd8c5b59d49c343e7560a95ecfe801bd5090c10e7afd38255f,,,What factors might make you less likely to get the vaccine? Vaccination location is not convenient,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,vaccine,vaccination location"
36104-post_vaccinefactors-7,Factors that might make participant less likely to get the vaccine selected; Difficult in making an appointment,categorical,c113d2750c5b56935ef0a617be39aea97d64d2f67f2d50a4e906cf4b75fb0fce160d8f08bfeed83f60dd38366965a87367b80536098dc4caa2b4b7ece69e3d52,,,What factors might make you less likely to get the vaccine? Difficult in making an appointment,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,appointment,vaccine"
36104-post_vaccinefactors-8,Factors that might make participant less likely to get the vaccine selected; It depends on the risk/adverse events,categorical,ab8495faf46f35e00d7ba7a4fc1388f6f2328802e34453d4a0bb391fa435756078c2beda9433b7f5e0c30b382291642ad4d65a42b1fc796b85471cd63db48268,,,What factors might make you less likely to get the vaccine? It depends on the risk/adverse events,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,risk,vaccine,adverse event"
36104-post_vaccinefactors-9,Factors that might make participant less likely to get the vaccine selected; I have not thought about it yet,categorical,3864fd5dd3467496c6ecb5239e6002febc7d017e426f769d7f8fb0d35561ae88f99a8280590487bcb701aa19fe46adcf2608ceef6b24088c6cd1f5ca0d96f5ad,,,What factors might make you less likely to get the vaccine? I have not thought about it yet,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"factor,vaccine"
36105-post_vaccineother,Other factors that the participant indicates would make them less likely to receive the vaccine,text,f4846fb2361335d10adc32a113a18b7b4e8068c4920597a5a9052469e7a39f98ef756a95c4cc0a40877ffd6a823b7ddc643bf49d20cf2ed18e4c585dfa6859e0,,,"Other factors, please specify:",true,,,,,,,,Follow-up Survey,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"participant,factor,vaccine"
ab_ultrasound,,,acebdd1cb847d6cded2841dbd2ccdaab8136e2e3880f2d1380fa06ef8dbc050dca0b75cc25c7d8d06e157c5027a5746e801bef1f88f56057b8492cd26ef8e745,,,Abdominal Ultrasound,,"1, Yes, abnormalities detected | 2, Yes, normal | 3, No, not performed | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,"If imaging was performed, what type?",radio,,,,,,,imaging_type,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,abdominal ultrasound
ab_ultrasound_date_mdy,Note: Maximum expected day = Current day.,,bcad687dfcfab928ade76f87fe01be15017d01266338d366338dc6f1a8e038c099089004b1a6c0f7a594c4d245cc9c59de972ce5f097f33bb524d95911cff96a,,,Date of Abdomen Ultrasound,,,,,,,,,tier2_ped,,,"If imaging was performed, what type?",text,MM/DD/YYYY,date_mdy,01/01/1900,,[ab_ultrasound] = '1' or [ab_ultrasound] = '2',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"date,maximum,current day"
abd_pain,Are you currently experiencing any of the following symptoms in the past 24 hours? - Abdminal pain,radio,42b647c65289d4525a5c7278302bfebbf325a4250a7abc33641a8e3044343348ac22dca123798bbca0b8d351781d335d10c1015b1a3fa0e8759884ec73a6c719,,,Abdominal Pain,,"1, Yes | 2, No | 3, Don't know",,,,,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"abdominal pain,abdminal pain,hour,symptom"
abdominal_pain,,,604c535738b838587f4a3c15a98868a595f0f0865a5d65a6941eb5b5a16941399ac1e4d517ba99a9abe81fc8e9ee0217a2f960fa3174ddec701871ab84063a68,,,Abdominal pain,,"1, Yes | 0, No",,,,,,,,,,Symptoms,radio,,,,,,,,RADx-rad Minimum CDE,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,abdominal pain
abdominal_pain,,,7720d9c4829c8efe7359e3f360507c94d782f72d9deff0291615b321be060d81c9048281e697e05e07d665458ec09ee09052913267e17781b06134613c2a7804,,,Abdominal pain,,"1, Yes | 0, No",,,,,,,,Symptoms,,,,,,,,,,,,,,RADx-rad-global-code-book.csv,RADx-rad,abdominal pain
abdominal_pain,,,9c969f461acea1c4b5e93d0d1731c72b8da49687ad0f0e7a2a66b808699a763e834f829cba83329968ccda33f4a6ebe8968990067e913b8a2d31a3cc1fa4835f,,,Abdominal pain,,"1, Yes | 0, No",,,,,,,form_1,,,Symptoms ,radio,,,,,,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,abdominal pain
abnormal_a1c,,,69f993ef1dbd53e1a97d80e4b73232b144523d0386801679c667be5496335a915c1b6fa9cdc274287943168d44ab3820c191b22583479aeaf986ff5512fff4d0,,,Hemoglobin A1C,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,hemoglobin a1c
abnormal_aptt,,,49a76753bd85d8e5e3677cf571cec6700d91e460ec40b6ae260098333fdf79fb34c0821c405f70d8ed2691d62f1fbb6dec4757a55b054ab7929bc512314894a5,,,Activated partial thromboplastin time (aPTT),,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"aptt,partial thromboplastin time"
abnormal_basophil,,,952d1de170727a66c9579a79371514591285c94fd25c248771460774bc3934df650fe1211fc332a2dfea25f3c843ddb75e64e4dbea39635709f86b048d86705c,,,Absolute basophil count,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,absolute basophil
abnormal_bilirubin,,,032760a88832e3e364dc4799ddf47047595379a32bd0d097267dba66943cb01ac8190c53fd3147f9fbc053b6c4b29ce912908867df707ac501cbb88bcef3a3c2,,,Total bilirubin,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,total bilirubin
abnormal_calcium,,,425a1b0cf0e34e0e532a214b3cad6e6780141af011aec37da1f6caab99d1ebfe013ad94ff9aea9ee3287860e99e56a127ca9a29f0e99a7b46c76f4f2977d056e,,,Calcium,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,calcium
abnormal_complement,,,20ffc9ca913da23ccbc56b26ada50586a577eeedf11f205e2381759bcd2a505732231619473e92514a4804bca9b2324782b6eeb784e073195b3fdf8a071ca0c8,,,Complement,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,complement
abnormal_csf,,,0f8df839f25620bb7965dcc183c3db25fc9ce572331fee303fceadbe3d3b67cb63a7ad84b3ad7a3e6a4a176c8486c7668891a13b7383f3f3caa642b6f8ce4ca5,,,Cerebrospinal fluid (CSF) WBC,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"csf,wbc,cerebrospinal fluid"
abnormal_csf_glucose,,,1f8a16a9127a54ebda55a5c41f7f5613c26edb49594a83af1346878cb5fb67b15a54b123c5d3ba7e6fc33e816ab3ca7bde08924214d2e0b8e3be13665e8363b9,,,CSF Glucose,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,csf glucose
abnormal_eosino,,,bbb88dba2717bf72c31110f8f865eeafaf8d8c1555fa3a1b0b3e97faa6485d292502cf233c60ea89f6a537e00e7c2043d6f2cc52527b83df71fa0e3f073bdbd2,,,Absolute eosinophil count,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,absolute eosinophil count
abnormal_hemo,,,be977be9578ba924dfbe9354a242463ef08cdc47b4a2f4093270045457f5a5ce2a5efedce5bb3774b858c07e1a6b7f7eaafc4e12bbbe0fb8ec9f2373002701af,,,Hemoglobin,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,hemoglobin
abnormal_il6,,,12fd60b53efdd215af5e6b59f503d851496494f2409d9396778593c75a72140ead62a49e470adc43a51b0f33e6f27fd6c5b2731f5a12a2fa75fa25d35d57c606,,,IL-6,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,
abnormal_inr,,,0327e2c210b78b18f2def1b35c5cb355da20a39faf33f15fdd5708a9396654349a9608866c72b76cece16a1d8c78dec89ecab2c04e3d68632b90ac8aa2f875b4,,,International normalized ratio (INR),,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"international normalized ratio,inr"
abnormal_monocyte,,,df4d84f287e89ae4adb41ade8621428607ad5275c27bdfff9b3535993a4a161a9457857f541591bd3bf4966abfa3b2e1aa028c7553a9c1b549e2b161d83769df,,,Absolute monocyte count,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,absolute monocyte count
abnormal_other,,,eee1b8d8fa3a85a1c9ceb5cd61de70b7fccee2a9569738707b51f9e0d292b9643a25c75b6f40f351058848442d0df3fa995e9a23954caf94093db2d99f0bfaa5,,,Other,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,
abnormal_pa02,,,01d39dd1d5d6da52fb1b4178d29653af84b6bab89d8ab197fac794f516d8bddd6221089bfc505f2a6da57a37e62d7593806609f957e5afeff038bb222c785f89,,,pa02,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,pa02
abnormal_pc02,,,c92c54005cd3d5afae10f9e129a169844ab9ae6354c7e13940b0398f67ead0b806cbfb0f7fc8405251cce89fad4d2a2b55947840b51838fca3543402598046b5,,,pCO2,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,pco2
abnormal_ph,,,3e6b159489c1e882ee9ab5c1e10129a2cf8c9a388e47227bf65e1aaa6ef94e0f61fae9c1449b22a3854e8b602e61f845924770d5da54dd09210f9509d37670d1,,,pH,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,,,Any labs repeated during admission that were more abnormal than initial values?,radio,,,,,[lab_tests_performed]='1',,lab_tests_abnormal,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,ph
