variable_name,description,datatype,Digest (variable_name|source_file|source_directory),survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,Concept,DHT Prompt,DHT Variable,DHT Response Options,Merged Variable 1: Prompt,Merged Variable 1: Respone Options,Merged Variable 1: Variable,Merged Variable 2: Prompt,Merged Variable 2: Respone Options,Merged Variable 2: Variable,Merged Variable 3: Prompt,Merged Variable 3: Respone Options,Merged Variable 3: Variable,Merged Variable 4: Prompt,Merged Variable 4: Respone Options,Merged Variable 4: Variable,RADx-TECH Prompt,RADx-TECH Variable,RADx-TECH Response Options,Comment,section_header,ui,field_note,pattern,min,max,branching_logic,Custom Alignment,Matrix Group Name,RADx-UP Prompt,RADx-UP Variable,RADx-UP Reponse Options,CDE Reference,RADx-rad Prompt,RADx-rad Variable,RADx-rad Response Options,Value Set,Dependent Fields,source_file,source_directory,categories,related_group,matches
nih_sickle_cell_disease,,,51b20089180c4bad4f3ec34d771f5e77168ee6ddb490a61be75454babe30a29e0bd8447f48f16bfa37c06ec97c81b3b70c417b7e759764488dc933583324766a,,,Sickle cell disease,,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sickle cell disease,sickle_cell_disease,"1, Yes | 0, No",,,RADx-rad-global-code-book.csv,RADx-rad,sickle cell disease,group20,"ad481a,1.0;548b09,1.0;b10660,1.0;9fc773,1.0"
nih_sickle_cell_disease,,,53f7dd8e2082ffcbcaab3aefe8e8cb71990bd56238c0f5ab95aeeec66281bac49fecc18136ea45f9703f872cd6a8d494c4dcc917be5dab072b5d62d7509fc773,,,Sickle cell disease,,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,Sickle cell disease,dht_sickle_cell_disease,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADx-DHT-global-code-book.csv,RADx-DHT,sickle cell disease,group20,"f4d00a,1.0;ad481a,1.0;548b09,1.0;829f3d,1.0;b10660,1.0;24766a,1.0"
nih_cancer,,,bee01d926a08a9851040733ea02ac4f6d14b50e24bf6bea8039c59543e1e4b6b8fe4f8260142ae033d974bb89e8e6624741ce057786735f7b0b7c66b2f6ac153,,,Cancer,,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADx-TECH-global-code-book.csv,RAD-x-TECH,cancer,group21,"e25948,1.0;a5dc44,1.0;8da3fc,1.0;68768c,1.0;947b98,1.0;bd0ec7,1.0"
nih_cancer,,,31754e703d0c01e00646e2c3c669d3c655e5716f798019fc0323544650655a9d7ce60c35f19a097a450c347a965f72a6b060fe09e4e179979d6a79cff3e25948,,,Cancer,,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,Cancer,dht_cancer,"0,No;1,Yes; 98, Don’t know;99, Prefer not to answer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADx-DHT-global-code-book.csv,RADx-DHT,cancer,group21,"6ac153,1.0;a5dc44,1.0;8da3fc,1.0;68768c,1.0;947b98,1.0;bd0ec7,1.0"
cancer,,,e9a3d80a2e82a9fb5064c4a3a929361ff1f614bf84924eb5dcae5f75db4375a1b1c1aa7f0d952f5d17157ca79bad4d47ab4d103842f2b8d895fa3ea869a5dc44,,,Cancer,,"1, Yes | 0, No",,,,,,,form_1,,,,,,,,,,,,,,,,,,,,,Medical History,radio,,,,,,,,,,,,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,cancer,group21,"6ac153,1.0;e25948,1.0;68768c,1.0;947b98,1.0"
cancer,,,5014c9a58777d4c952a9f3e13418b0efc635c05bfa40a84389e927833c0acbcf845525b89abc3d7710e0b339848c6c80184671a08d3ab81b6e105d7dd48da3fc,,,Cancer,,"1, Yes | 0, No",,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical History,radio,,,,,,,,,,,RADx-rad Minimum CDE,,,,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,cancer,group21,"6ac153,1.0;e25948,1.0;68768c,1.0;947b98,1.0"
nih_cancer,,,2429b9e08eee22c4b76708ebd690007ac2b6382806dd58ee31912bb6adbe5ee9da06160dfe2957ecd66c7e7394da86f8453c2c8f1797f52c5c23e5bf2268768c,,,Cancer,,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADx-UP-global-code-book.csv,RADx-UP,cancer,group21,"6ac153,1.0;e25948,1.0;a5dc44,1.0;8da3fc,1.0;bd0ec7,1.0"
cancer,,,710071c90f880777cc6a8c3ee9fb6e8f02c9b5415bac205ce0335eb42f3979d1e9c6f468e9dc5eeab8398c0513f04b6ba02df91056d5464b17461270d6947b98,,,Cancer,,"0, No| 1, Yes| 99, Prefer not to answer",,,,,,,tier2_ped,,,,,,,,,,,,,,,,,,,,,Significant underlying medical conditions at the time of COVID-19 testing or diagnosis:,radio,,,,,,,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,cancer,group21,"6ac153,1.0;e25948,1.0;a5dc44,1.0;8da3fc,1.0;bd0ec7,1.0"
nih_cancer,,,92c433dba56c91eb88a2f7abaa07b4fa08dd251be0d9187f22df82d54922f2f0d159581d40bd97f99a72c40f8821b4f9d1c10b87bfc9e379f414abc547bd0ec7,,,Cancer,,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,cancer,"1, Yes | 0, No",,,RADx-rad-global-code-book.csv,RADx-rad,cancer,group21,"6ac153,1.0;e25948,1.0;68768c,1.0;947b98,1.0"
nih_cancer_active_treatment,,,b2f391668c68a3b9f2a38ea9467076098af21fc394d13e862d2a63b9aea743275d44685786c9752d9119fb4a1280d9bb6c7bd39ab89359c9f5fb04ab4fbf4156,,,Cancer (including leukemia or lymphoma) undergoing active treatment?,,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADx-rad-global-code-book.csv,RADx-rad,"active treatment,lymphoma,leukemia,cancer",group22,"ceb918,1.0;8c5093,1.0;aa7795,1.0;0c528a,1.0"
cancer,,select one,6264f0ddb787211e192a5d15e81651843540a63f7b5d6baa3fe2c286ac75aec5814d3e89586587d8a17c38054215022dcd07979252f5838f8cf03fe19aceb918,Your Medical Conditions,4,Cancer (including leukemia or lymphoma) undergoing active treatment?,true,Yes;No;Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,"active treatment,lymphoma,leukemia,cancer",group22,"bf4156,1.0;aa7795,1.0;0c528a,1.0"
nih_cancer_active_treatment,,,822cb44cf4deabf303380197be856fc6cca858cfcbffe71156503fb325b38c1ba9c713620e5e1c48ac7e96be0e37cd1ecab6991605c50d2489cf5772208c5093,,,Cancer (including leukemia or lymphoma) undergoing active treatment?,,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADx-DHT-global-code-book.csv,RADx-DHT,"active treatment,lymphoma,leukemia,cancer",group22,"bf4156,1.0;aa7795,1.0;0c528a,1.0"
nih_cancer_active_treatment,,,f94b1a7b533dfdce842c6e1235ed5aebad2bbb3807fa98e8e9ced08c7d53977c1f4d17c972768c7f0da2b7e361471d3f70904975e985ce17ff8b98015aaa7795,,,Cancer (including leukemia or lymphoma) undergoing active treatment?,,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADx-UP-global-code-book.csv,RADx-UP,"active treatment,lymphoma,leukemia,cancer",group22,"bf4156,1.0;ceb918,1.0;8c5093,1.0;0c528a,1.0"
nih_cancer_active_treatment,,,a17ad7dffb283d6445946eecb77c7fd2ee23ee9876e04a2c8a49968662c42b5996d3f7553482749cb5e0fb409bfa68facba9655b9e47df1243914731830c528a,,,Cancer (including leukemia or lymphoma) undergoing active treatment?,,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,Cancer (including leukemia or lymphoma) undergoing active treatment?,cancer,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,,,,,,,,,,,,,,,,,,,RADx-TECH-global-code-book.csv,RAD-x-TECH,"active treatment,lymphoma,leukemia,cancer",group22,"bf4156,1.0;ceb918,1.0;8c5093,1.0;aa7795,1.0"
vaping,,,b0e4204b0e4dba13fab5544dcdae64207f3b4eba06092ff443783f57b226adf5a4a965fa77c21ea016f397c7c2fe8ab8e20d40228de46dd46e9cc873d543325e,,,Vaping Use,,"1, Yes | 0, No",,,,,,,form_1,,,,,,,,,,,,,,,,,,,,,Medical History,radio,,,,,,,,,,,,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,vape use,group23,"19cfc9,0.78;2b1055,0.78;7110c4,0.78"
nih_vaping_yn,,,2cef99397368c25a4df914bbbf3d21e8af8012081c309d09cd853e5674fe4153c6ff216f1944ea0683cd4817035e981410b324cfaf15d6383dd46c3428dc0669,,,Vaping use (Yes or No),,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaping Use,vaping,"1, Yes | 0, No",,,RADx-rad-global-code-book.csv,RADx-rad,vape use,group23,"19cfc9,1.0;2b1055,1.0;7110c4,1.0"
nih_vaping_yn,,,e113648b9d64827ceefc29c85ce2e05384511969462a3b9966de97bcb8b1e29083d341b3d1420c4814c0c3f07f8206e4e86b32df8e8ba5078bf79781ec19cfc9,,,Vaping use (Yes or No),,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADx-UP-global-code-book.csv,RADx-UP,vape use,group23,"43325e,0.78;dc0669,1.0;2b1055,1.0;549f01,0.78;7110c4,1.0"
nih_vaping_yn,,,6c05092138d82e40950bf8ff758b9e291b1d08178ae3f9563822aca8686baec8abccf4f3bea7f4c21a6e76971fdcb1c892a9ea2f3ea57489a3d053cc992b1055,,,Vaping use (Yes or No),,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADx-TECH-global-code-book.csv,RAD-x-TECH,vape use,group23,"43325e,0.78;dc0669,1.0;19cfc9,1.0;549f01,0.78;7110c4,1.0"
vaping,,,1d11efbc871fb83438bf5009217d9e790831e50964420871f9b96e413bfc2f2cd802ff656b788227bbf11e192fc565c169b3f9ae1ed42d64dbf6831754549f01,,,Vaping Use,,"1, Yes | 0, No",,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical History,radio,,,,,,,,,,,RADx-rad Minimum CDE,,,,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,vape use,group23,"19cfc9,0.78;2b1055,0.78;7110c4,0.78"
nih_vaping_yn,,,1c65cfad0c9d8503d1963445e9c3fb265411702034306bac6d8cd85d389be5bd522c0e8f98a748593b205b62411fa6f36839341b7bbedc9ca844080da87110c4,,,Vaping use (Yes or No),,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,Vaping use (Yes or No),dht_vaping,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADx-DHT-global-code-book.csv,RADx-DHT,vape use,group23,"43325e,0.78;dc0669,1.0;19cfc9,1.0;2b1055,1.0;549f01,0.78"
nih_t1d,,,c570a2786017f5a51d51a2473826b7394ce912405107b76f06689a41a9d0bc4ed493f5a69a970499aa9d3a2b2f3889319150e3f2c43d5c7bc5a01462f3df5205,,,Type 1 Diabetes,,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADx-rad-global-code-book.csv,RADx-rad,"diabete,type",group24,"f8be2b,1.0;0021c5,0.73;b9e98c,0.83;351e30,0.73;25db39,0.73;9d0929,1.0;f6b4e5,1.0;a074be,0.83;4a4773,0.83"
nih_t1d,,,faf45824fc4be6bbe9bdb28c6f12a8fe6778ab49e22018eb99678986518b62f7dafbb3b5e1e8691c5961666c6bb7fb088cf969dffae719c0c2c610a2faf8be2b,,,Type 1 Diabetes,,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,Type 1 Diabetes,dht_t1d,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADx-DHT-global-code-book.csv,RADx-DHT,"diabete,type",group24,"df5205,1.0;0021c5,0.73;b9e98c,0.83;123b3b,0.73;289d4b,0.73;25db39,0.73;9d0929,1.0;ab84f5,0.83;f6b4e5,1.0;5d8a99,0.73;4a4773,0.83"
nih_diabetes,,,c2263067191081cc6dc9f8de15a4dc73bfe6fcd8d10669d26c135c849af0b6d793b9f67cf21f714b233082d4f309116ade4ad55154ff36baa1233c57950021c5,,,Diabetes,,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diabetes,cc_diabetes,"1, Yes | 0, No",,,,,,,RADx-UP-global-code-book.csv,RADx-UP,diabete,group24,"df5205,0.73;f8be2b,0.73;351e30,1.0;123b3b,1.0;289d4b,1.0;25db39,1.0;9d0929,0.73;ab84f5,0.76;5d8a99,1.0;a074be,0.76;4a4773,0.76"
